Respondent,OpenSource,Hobby,ConvertedSalary,CommunicationTools,LanguageWorkedWith,OperatingSystem,CompanySize,Country
Respondente_1,No,No,280000.0,Slack,C#,Windows,100 to 499 employees,United States
Respondente_2,No,Yes,445491.19999999995,Jira,C,Windows,"1,000 to 4,999 employees",Germany
Respondente_3,Yes,Yes,700000.0,Office / productivity suite ,Assembly,Windows,"10,000 or more employees",United States
Respondente_4,No,Yes,0.0,Slack,C++,MacOS,10 to 19 employees,United States
Respondente_5,Yes,Yes,0.0,Slack,C,Windows,20 to 99 employees,Nepal
Respondente_6,No,Yes,148041.59999999998,Confluence,Java,Windows,100 to 499 employees,Portugal
Respondente_7,Yes,Yes,112022.4,Facebook,C,Linux-based,20 to 99 employees,Hungary
Respondente_8,Yes,Yes,0.0,nan,nan,,20 to 99 employees,Pakistan
Respondente_9,No,Yes,0.0,nan,C#,Windows,10 to 19 employees,Egypt
Respondente_10,Yes,Yes,493449.6,Confluence,JavaScript,MacOS,"1,000 to 4,999 employees",Germany
Respondente_11,No,Yes,576800.0,Jira,C++,Windows,20 to 99 employees,United States
Respondente_12,Yes,Yes,62899.2,Facebook,C,Windows,20 to 99 employees,Brazil
Respondente_13,Yes,Yes,315268.8,HipChat,Java,MacOS,20 to 99 employees,Germany
Respondente_14,Yes,Yes,890982.3999999999,Confluence,Java,MacOS,,Belgium
Respondente_15,No,Yes,0.0,Confluence,Java,Windows,20 to 99 employees,Andorra
Respondente_16,No,Yes,0.0,nan,nan,,"1,000 to 4,999 employees",Viet Nam
Respondente_17,No,Yes,32591.999999999996,Facebook,Java,Windows,20 to 99 employees,India
Respondente_18,No,Yes,0.0,nan,Java,Windows,,Italy
Respondente_19,Yes,Yes,649600.0,nan,C,MacOS,,United States
Respondente_20,No,Yes,373374.39999999997,Jira,C++,Windows,"1,000 to 4,999 employees",United Kingdom
Respondente_21,No,Yes,33600.0,Google Hangouts/Chat,C#,Windows,10 to 19 employees,Nigeria
Respondente_22,No,No,35683.2,Office / productivity suite ,SQL,Windows,"10,000 or more employees",Russian Federation
Respondente_23,Yes,Yes,0.0,nan,nan,,"10,000 or more employees",United States
Respondente_24,Yes,Yes,280028.0,Office / productivity suite ,JavaScript,Windows,100 to 499 employees,United Kingdom
